Question	Answer	Source
Просмотр причины отклонения заявки на сертификат	**Для Оператра: **Если Пользователю непонятна  причина отклонения заявки на сертификат или Пользователь не согласен с ней  и Оператор не может объяснить причину отклонения, рекомендуйте Пользователю отправить сообщение на адрес электронной почты [uc@ft-crypto.ru](http://ft-crypto.ru). "Информация об отклонении заявки на сертификат с причиной отклонения поступает на адрес электронной почты пользователя, указанный при формировании заявки на сертификат. Для просмотра подробной информации о заявке:	Editorial
Ускоренное рассмотрение заявки на сертификат	"Срок рассмотрения специалистом заявки на получение сертификата - 1 рабочий день. Информация по Вашему обращению будет передана ответственному специалисту. По возможности Ваша заявка будет рассмотрена вне очереди. Ожидайте информацию о результате рассмотрения на адрес электронной почты".	Editorial
Регистрация в Сервисе управления сертификатами		Editorial
Вход в Сервис управления сертификатами	"Для входа в Сервис управления сертификатами (для просмотра заявки, для генерации и установки сертификата, для скачивания счетов на оплату):	Editorial
Восстановление пароля для входа в Сервис управления сертификатами 	"Для восстановления пароля для входа в Сервис управления сертификатами:1.  Перейдите по ссылке из поступившего письма;\n2.  На странице авторизации нажмите кнопку "Восстановить пароль";\n3.  Введите адрес электронной почты (логин) и символы, представленные на картинке, нажмите кнопку "Восстановить";\n4.  На адрес электронной почты придет письмо с новым паролем для входа в Сервис управления сертификатами."	Editorial
Вход в заявку на выпуск сертификата если нет письма, содержащего ссылку	**Решение:**1.  Откройте заявку в Личном кабинете Оператора;\n2.  Скопируйте Guid в адресной строке браузера (после равно);\n3.  В ссылку [https://app.rts-tender.ru/crypto/Cabinet/CertRequestView.aspx?FileGuid](https://app.rts-tender.ru/crypto/Cabinet/CertRequestView.aspx?FileGuid)= после равно вставьте скопированный текст;\n4.  Передайте ссылку пользователю (по почте, через удаленный доступ);\n5.  Пройдя по ссылке пользователю необходимо ввести логин (e-mail) и пароль, который вводили при регистрации.	Editorial
Контакты УЦ "FT-crypto"	**Контакты **УЦ "FT-crypto"**:***   Полное наименование: Общество с ограниченной ответственностью "Финтендер-крипто" (ООО "Финтендер-крипто"), Генеральный директор - Бубуненко Игорь Анатольевич;\n*   Телефон: (499)-653-57-00 (звонок платный);\n*   График работы линии техподдержки: с 5:00 до 19:00 Мск, выходные - суббота, воскресенье;\n*   E-mail: uc@ft-crypto.ru ;\n*   Юридический и почтовый адрес: 656056, Алтайский край, г. Барнаул, ул. Максима Горького, д. 29.	Editorial
Контакты ЭП РТС-тендер	"Сведения о контактах компании РТС-тендер и ее представительствах можно посмотреть на главной странице сайта www.rts-tender.ru в разделе "О компании" / "Контакты".Генеральный директор ООО "РТС-тендер" - Лишенков Владимир Николаевич**Центральный офис**Контактный номер телефона:+7(800) 77-55-800 (звонок по России бесплатный); <span dir="ltr"><span dir="ltr">+7 (499) 653-55-00</span></span> - прямой городской номер для жителей Москвы и Московской области (звонки из других регионов тарифицируются как межгород)+7(495) 733-9519 - факс. Юридический и почтовый адрес: 121151, г. Москва, набережная Тараса Шевченко, д. 23-АФактический адрес: 121151, г. Москва, набережная Тараса Шевченко, д.23-А, Бизнес-центр "Башня 2000", 25 этаж**Сибирский филиал "РТС-тендер"**Контактный номер телефона:  <span dir="ltr"><span dir="ltr">+7 (3852) 200-787</span></span> - офис+7 (3852) 220-712 - факс Адрес: 656056, г. Барнаул, ул. М. Горького, д. 29**Трудоустройство**Если Вас интереcует работа в филиалах и представительствах нашей компании, расположенных в Сибирском и Дальневосточном федеральных округах, обращайтесь по телефону <span dir="ltr"><span dir="ltr">+7 (3852) 200-787</span></span> доб. 33004 или напишите письмо на [sf.common@rts-tender.ru](mailto:sf.common@rts-tender.ru)."	Editorial
Контакты ОТС-Маркет 	"На данный момент ОТС-Маркет не является партнером РТС-тендер. Для получения консультации Вы можете обратиться по телефонам, рамещенным на сайте ОТС-Маркет".	Editorial
Контакты сторонних организаций 	**Крипто-ПРО:**Тел./факс: +7 (495) 780 4820 +7 (495) 660 2330 Email: [info@cryptopro.ru](mailto:info@cryptopro.ru)Адрес для писем: 127018, г. Москва, а/я 'КРИПТО-ПРО' (б/н).**Ассоциация электронных торговых площадок:**Тел.: 8-800-2000-100Сайт: [aetp.ru](http://aetp.ru/)	Editorial
Контакты РТС-тендер по 223-ФЗ	Номера телефонов Службы технической поддержки:<span dir="ltr"><span dir="ltr"> +7 (499) 653-9-900. Время работы линии - с 5:00 до 19:00 по МСК.</span></span>Адреса электронной почты: [info223@rts-tender.ru](mailto:info223@rts-tender.ru) - поддержка Участников[support223@rts-tender.ru](mailto:support223@rts-tender.ru) - поддержка Заказчиков	Editorial
Контакты ЭП РТС-тендер Имущественные торги	 "Вопросы по работе на ЭП РТС-тендер Имущественные торги Вы можете задать специалистам по номеру телефона +7 (499) 653-77-00" или по адресу электронной почты [iSupport@rts-tender.ru](http://rts-tender.ru)".	Editorial
Перевод звонка на другого абонента 		Editorial
Сорвался звонок, абонент не отвечает, тишина или музыка в трубке, ошиблись номером, не по адресу 		Editorial
Уточнение информации по обращению 	1.  Уточните информацию по обращению (по телефону, по электронной почте);\n2.  Найдите обращение (по номеру или другим реквизитам)\n3.  Сообщите, на какой стадии рассмотрения оно находится. При необходимости свяжитесь с Ответственным и уточните подробности по запросу Клиента.	Editorial
Юридическая консультация по УЦ "FT-crypto"  		Editorial
Обращение по ОТС-тендер 	"С января 2015 года электронная площадка ОТС-тендер не является партнером РТС-тендер . На площадке РТС-тендер реализована возможность работы по 223-ФЗ. В связи с этим предлагаем Вам пройти аккредитацию на электронной площадке РТС-тендер по 223-ФЗ и продолжить работу с группой наших площадок. Подробную информацию по аккредитации Вы можете получить по тел: +7 (499) 653-9-900. Время работы линии - с 6:00 до 18:00 по МСК".	Editorial
Просьба соединить со специалистом / Вопрос по продвижению FT-крипто 	1.  Уточните ИНН / Наименование организации, вопрос, адресованный специалисту, контактные данные обратившегося: ФИО, контактный номер телефона;\n2.  Предоставьте ответ: "Информация будет передана ответственным специалистам. С Вами свяжутся в ближайшее время";\n3.  Поставьте задачу используя шаблон "Контакты клиента для продвижения".	Editorial
Вопрос по ранее полученному Коммерческому предложению по перевыпуску сертификата 	1.  Уточните ИНН / Наименование организации, вопрос, адресованный специалисту, контактные данные обратившегося: ФИО, контактный номер телефона;\n2.  Предоставьте ответ: "Информация будет передана ответственным специалистам. С Вами свяжутся в ближайшее время";\n3.  Поставьте задачу, используя шаблон: "Контакты клиента для продвижения".	Editorial
Обращение о помощи сгенерировать сертификат	 "Информация передана техническим специалистам, с Вами свяжутся в указанное время".	Editorial
Сервис поиска торгов и проверки контрагентов	"Специально для наших Пользователей мы предлагаем абсолютно бесплатно воспользоваться системой поиска торгов "СТАР" и проверки контрагентов "ОК" в нашем сервисе.  \n "[СТАР](https://star.fintender.ru/)" – система тендерных аналитических решений, позволяет производить интеллектуальный поиск по проводимым закупкам в понятной и удобной форме по всем ЭП.   \n "[ОК](https://fintender.ru/ok)" – система проверки контрагентов  позволяет в 1 клик получить актуальные данные о контрагенте:*   регистрационные данные компании;\n*   юридический и финансовый статус организации;\n*   перечень владельцев и доли участия;\n*   сведения о причастности к экстремистской деятельности и терроризму;\n*   данные о банкротстве и наличии дисквалификаций руководства;\n*   перечень имеющихся судебных споров и исполнительных производств;\n*   статистика участия компании в государственных и/или муниципальных контрактах;\n*   сведения о принадлежности к РНП\n*   и многие другие полезные данные."	Editorial
Программа лояльности	Каждому постоянному клиенту УЦ "Финтендер-крипто" регулярно будут предоставляться различные скидки, дополнительные бесплатные услуги и приятные бонусы (программа лояльности. В эту программу попадают все клиенты, которые заказали сертификат в УЦ "Финтендер-крипто"). Информация о действующих бонусах будет направляться Участникам на электронную почту.Действующие бонусы:1.  Увеличение срока действия нового сертификата ЭП, который будет выпущен в 2018 году на 3 месяца (то есть новый сертификат ЭП будет действовать 15 месяцев). Бонус возможно получить только в том случае, если на момент акции последний сертификат будет выпущен в УЦ "Финтендер-крипто".\n2.  Запрос на ускоренную аккредитацию на площадке РТС-тендер, на весь период действия сертификата (такая заявка будет рассмотрена в течении одного рабочего дня, следующего за днем обращения).	Editorial
Предоставление заверенных копий  документов в точку выдачи	*   "Если заявка на перевыпуск сертификата была подана из Личного кабинета под электронной подписью и пользователь может действовать без доверенности – предоставление копий оригиналов документов в точку выдачи не требуется;\n*   Если заявка на перевыпуск сертификата была подана из Личного кабинета, при этом вход был выполнен под электронной подписью и пользователь не может действовать без доверенности – в точку выдачи необходимо предоставить оригинал Доверенности на получение сертификата и право подписи документов. Доверенность на владельца сертификата должна быть выдана не позднее 14 дней с момента изготовления сертификата. Оригинал доверенности отправляется по почте России по адресу:656056, Алтайский край, г. Барнаул, ул. Максима Горького, д 29.;\n*   Если заявку на получение подал новый пользователь или заявка была подана под логином / паролем – копии оригиналов всех документов предоставляются в точку выдачи.Копии оригиналов документов необходимо предоставлять в точку выдачи лично, при себе иметь документ удостоверяющий личность. Отправка почтой не допускается.*   Если предоставляет документы и получает носитель eToken иное лицо (не то, которое указано в заявке на получение сертификата), дополнительно требуется предоставить в точку выдачи Доверенность на получение товарно-материальных ценностей (стандартная форма М2, можно скачать в 1С). В доверенности необходимо указать "Получение ключевого носителя еТокен". При формировании заявки на выпуск сертификата данную доверенность прикреплять не требуется;\n*   Документы, предоставляемые в центр выдачи, остаются в центре выдачи, пользователю не возвращаются;\n*   Копии документов, касающихся организации и пользователя (Устав, решение о назначении на должность руководителя, паспорт, СНИЛС, свидетельста ИНН, ОГРН / ОГРНИП и т.д.), должны быть заверены печатью организации и подписью руководителя;\n*   Заявления, доверенности, формируемые на втором шаге предоставляются в Центр выдачи в оригинале. Если после подачи заявки не сохранились оригиналы заявлений, необходимо перейти в заявку на сертификат, скачать, распечатать и заверить подписью руководителя и печатью организации сканированные копии заявлений;\n*   После предоставления пакета документов в Центр выдачи, документы отправляются в центральный офис УЦ "FT-crypto" (в г. Барнаул). Документы хранятся в течение 5 лет".	Editorial
Точки выдачи УЦ "FT-crypto" 	 "Полный список точек выдачи можно посмотреть на сайте Удостоверяющего центра [http://cryptoca.ru](http://cryptoca.ru/) в разделе "Адреса выдачи". Режим работы центров персонализации УЦ "FT-crypto" можно уточнить по контактному номеру телефона интересующего центра на странице.	Editorial
Адрес центра выдачи в Москве. Режим работы 	"Адрес Центра выдачи: г. Москва, Набережная Тараса Шевченко 23А, Башня 2000, сектор А, этаж. 25Режим работы: с 09-30 до 18-00 (Мск). Контактный номер телефона Удостоверяющего центра: +7 (499) 702-47-14.В случае если на ресепшене для входа требуют пропуск, позвоните по контактному номеру телефона Удостоверяющего центра".	Editorial
Количество комплектов документов, предоставляемых в центр выдачи при выпуске двух и более сертификатов	"Учредительные документы, документы, подтверждающие полномочия руководителя можно предоставить в одном экземпляре. Все заявления, указанные во втором шаге, предоставляются на каждый сертификат отдельно."	Editorial
